electricity_usage_kWh,actual,forecast,discom_requisition,datetime,region,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,hour,day_of_week,is_weekend,month,is_holiday,usage_lag_1h,usage_lag_24h,rolling_mean_3h,rolling_std_6h,usage_diff_1h,usage_pct_change_1h,season_Monsoon,season_Summer,season_Winter,day,year,weekday,is_peak_evening,rain_category,cloud_category,date,daily_mean_power,monthly_mean_power,rolling_24h_power,rolling_7d_power,lag_1h,lag_24h,daily_mean_temp,monthly_mean_temp,temp_dev_from_month,power_dev_from_month,Rainy_Heavy,Rainy_Partial,Cloudy,is_hot,is_cold,temp_power_corr_7d,consumption,temperature
6661,6661,6900,6716,2023-02-02,Vishakapatnam ,87.9,68.1,77.5,87.2,68.1,77.6,64.6,67.6,0.0,0,0.0,unknown,0,0,25.7,13.9,69.3,1012.9,28.4,4.0,228.7,19.7,8,10,2023-02-02T06:29:18,2023-02-02T17:52:10,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43149099999,43150099999,remote",0,3,0,2,0,6703,6810,7057.0,475.7247389,-42,-0.006265851,False,False,True,2,2023,3,0,No Rain,Partly Cloudy,2023-02-02,6661.0,7320.0,6661.0,6661.0,8284.0,8281.0,78.5,80.02222222222223,-2.5222222222222257,-659.0,0,0,0,1,0,0.0837966668634383,6661,77.5
6661,6661,6900,6716,2023-02-02,kurnool,90.8,68.3,78.2,89.1,68.3,77.9,59.8,56.2,0.0,0,0.0,unknown,0,0,19.7,8.3,69.5,1012.1,62.1,11.3,249.4,21.5,9,10,2023-02-02T06:47:40,2023-02-02T18:15:29,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43212099999,remote,43213099999",0,3,0,2,0,6661,6863,6976.333333,493.942165,0,0.0,False,False,True,2,2023,3,0,No Rain,Cloudy,2023-02-02,6661.0,7320.0,6661.0,6661.0,6661.0,8281.0,78.5,80.02222222222223,-1.8222222222222229,-659.0,0,0,1,1,0,0.0837966668634383,6661,78.2
6661,6661,6900,6716,2023-02-02,Guntur,89.6,70.1,78.8,90.3,70.1,79.1,64.3,63.4,0.0,0,0.0,unknown,0,0,16.8,8.1,65.7,1012.2,36.3,5.9,217.8,18.9,8,10,2023-02-02T06:38:43,2023-02-02T18:05:18,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999",0,3,0,2,0,6661,6767,6908.666667,496.6481838,0,0.0,False,False,True,2,2023,3,0,No Rain,Partly Cloudy,2023-02-02,6661.0,7320.0,6661.0,6661.0,6661.0,8281.0,78.5,80.02222222222223,-1.2222222222222283,-659.0,0,0,0,1,0,0.0837966668634383,6661,78.8
6661,6661,6900,6716,2023-02-02,Rajahmundry,90.1,71.0,78.9,89.7,71.0,79.1,64.9,64.7,0.0,0,0.0,unknown,0,0,19.9,9.2,76.7,1012.8,35.6,11.4,226.4,19.5,8,10,2023-02-02T06:34:15,2023-02-02T17:59:04,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43187099999,43189099999,remote",0,3,0,2,0,6661,6767,6850.0,486.6690224,0,0.0,False,False,True,2,2023,3,0,No Rain,Partly Cloudy,2023-02-02,6661.0,7320.0,6661.0,6661.0,6661.0,8281.0,78.5,80.02222222222223,-1.12222222222222,-659.0,0,0,0,1,0,0.0837966668634383,6661,78.9
6661,6661,6900,6716,2023-02-02,vijayawada,89.6,70.1,79.1,90.3,70.1,79.3,64.0,62.5,0.0,0,0.0,unknown,0,0,17.0,8.1,69.0,1012.3,31.6,5.7,215.1,18.7,8,10,2023-02-02T06:38:15,2023-02-02T18:04:16,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999",0,3,0,2,0,6661,6727,6798.0,476.7487717,0,0.0,False,False,True,2,2023,3,0,No Rain,Partly Cloudy,2023-02-02,6661.0,7320.0,6661.0,6661.0,6661.0,8281.0,78.5,80.02222222222223,-0.9222222222222314,-659.0,0,0,0,1,0,0.0837966668634383,6661,79.1
6822,6822,6810,6696,2023-02-03,Vishakapatnam ,85.1,68.1,76.3,86.5,68.1,76.6,65.4,71.8,0.0,0,0.0,unknown,0,0,20.4,15.0,85.6,1013.5,15.0,2.8,236.8,20.2,8,10,2023-02-03T06:29:01,2023-02-03T17:52:41,0.42,Clear,Clear conditions throughout the day.,clear-day,"43149099999,43150099999,remote",0,4,0,2,0,6852,6661,7115.75,467.0378363,-30,-0.004378284,False,False,True,3,2023,4,0,No Rain,Clear,2023-02-03,6822.0,7320.0,6687.833333333333,6687.833333333333,6661.0,8281.0,78.1,80.02222222222223,-3.722222222222229,-498.0,0,0,0,1,0,0.0837966668634383,6822,76.3
6822,6822,6810,6696,2023-02-03,vijayawada,87.8,71.1,78.8,90.3,71.1,79.3,66.0,67.5,0.0,0,0.0,unknown,0,0,19.0,9.2,80.2,1012.8,17.1,4.6,221.1,19.1,8,10,2023-02-03T06:38:00,2023-02-03T18:04:45,0.42,Clear,Clear conditions throughout the day.,clear-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999",0,4,0,2,0,6822,6705,7045.833333,482.3107405,0,0.0,False,False,True,3,2023,4,0,No Rain,Clear,2023-02-03,6822.0,7320.0,6707.0,6707.0,6822.0,8281.0,78.1,80.02222222222223,-1.2222222222222283,-498.0,0,0,0,1,0,-0.4591998322971781,6822,78.8
6822,6822,6810,6696,2023-02-03,kurnool,90.6,66.5,78.1,89.5,66.5,77.7,59.4,56.0,0.0,0,0.0,unknown,0,0,18.1,7.2,71.6,1012.7,11.4,11.3,247.2,21.3,9,10,2023-02-03T06:47:26,2023-02-03T18:15:57,0.42,Clear,Clear conditions throughout the day.,clear-day,"43212099999,remote,43213099999",0,4,0,2,0,6822,6687,6998.916667,479.742949,0,0.0,False,False,True,3,2023,4,0,No Rain,Clear,2023-02-03,6822.0,7320.0,6721.375,6721.375,6822.0,8281.0,78.1,80.02222222222223,-1.922222222222232,-498.0,0,0,0,1,0,-0.5651055817916941,6822,78.1
6822,6822,6810,6696,2023-02-03,Guntur,87.8,70.6,78.6,90.3,70.6,79.2,66.5,68.9,0.0,0,0.0,unknown,0,0,16.6,9.2,75.9,1012.8,16.9,4.8,218.6,18.8,8,10,2023-02-03T06:38:28,2023-02-03T18:05:47,0.42,Clear,Clear conditions throughout the day.,clear-day,"43185099999,VOBZ,43220099999,43182099999,remote,43181099999",0,4,0,2,0,6822,6666,6954.75,462.7973525,0,0.0,False,False,True,3,2023,4,0,No Rain,Clear,2023-02-03,6822.0,7320.0,6732.555555555556,6732.555555555556,6822.0,8281.0,78.1,80.02222222222223,-1.4222222222222314,-498.0,0,0,0,1,0,-0.5443397414967519,6822,78.6
6822,6822,6810,6696,2023-02-03,Rajahmundry,90.1,71.1,78.7,90.1,71.1,79.2,66.8,69.5,0.0,0,0.0,unknown,0,0,19.0,9.4,82.7,1013.4,19.9,11.5,235.7,20.4,8,10,2023-02-03T06:34:00,2023-02-03T17:59:34,0.42,Clear,Clear conditions throughout the day.,clear-day,"43187099999,43189099999,remote",0,4,0,2,0,6822,6657,6919.75,443.8285489,0,0.0,False,False,True,3,2023,4,0,No Rain,Clear,2023-02-03,6822.0,7320.0,6741.5,6741.5,6822.0,8281.0,78.1,80.02222222222223,-1.3222222222222229,-498.0,0,0,0,1,0,-0.4579693091699111,6822,78.7
